  Data: Real and imaginary indices of refraction for water at 27 C
  between 10 and 5000 cm-1.

  Reference: H. D. Downing and D. Williams, Optical constants of water
  in the infrared, J. Geophys. Res., vol. 80, pgs. 1656-1661, 1975.

  Format: wavenumber (cm-1), wavelength (microns), real and imaginary
  indices of refraction of water at 27 C.
  420 values   2x,f5.0,2x,f8.3,4x,f5.3,2x,f8.6


  cm-1   microns     real   imaginary
    10.  1000.000    2.600  1.090200
    20.   500.000    2.225   .718000
    30.   333.333    2.150   .527000
    40.   250.000    2.110   .460000
    50.   200.000    2.070   .438000
    60.   166.667    2.040   .444000
    70.   142.857    2.020   .450000
    80.   125.000    2.010   .487000
    90.   111.111    2.000   .507000
   100.   100.000    1.997   .507000
   110.    90.909    1.982   .532000
   120.    83.333    1.960   .557000
   130.    76.923    1.929   .577000
   140.    71.429    1.890   .593000
   150.    66.667    1.848   .608000
   160.    62.500    1.801   .622000
   170.    58.824    1.746   .629000
   180.    55.556    1.689   .618000
   190.    52.632    1.640   .597000
   200.    50.000    1.600   .571000
   210.    47.619    1.567   .539000
   220.    45.455    1.542   .505000
   230.    43.478    1.528   .469000
   240.    41.667    1.525   .436000
   250.    40.000    1.529   .414000
   260.    38.462    1.532   .398000
   270.    37.037    1.534   .385000
   280.    35.714    1.537   .375000
   290.    34.483    1.539   .368000
   300.    33.333    1.541   .361000
   310.    32.258    1.543   .357000
   320.    31.250    1.546   .353000
   330.    30.303    1.550   .352000
   340.    29.412    1.552   .356000
   350.    28.571    1.552   .359000
   360.    27.778    1.552   .363000
   370.    27.027    1.549   .368000
   380.    26.316    1.545   .372000
   390.    25.641    1.541   .377000
   400.    25.000    1.537   .382000
   410.    24.390    1.532   .386000
   420.    23.810    1.527   .390000
   430.    23.256    1.521   .394000
   440.    22.727    1.515   .397000
   450.    22.222    1.510   .401000
   460.    21.739    1.504   .404000
   470.    21.277    1.496   .408000
   480.    20.833    1.488   .411000
   490.    20.408    1.480   .415000
   500.    20.000    1.470   .418000
   510.    19.608    1.462   .421000
   520.    19.231    1.451   .423000
   530.    18.868    1.441   .425000
   540.    18.519    1.431   .426000
   550.    18.182    1.419   .427000
   560.    17.857    1.407   .427000
   570.    17.544    1.396   .428000
   580.    17.241    1.385   .427000
   590.    16.949    1.372   .425000
   600.    16.667    1.361   .423000
   610.    16.393    1.348   .420000
   620.    16.129    1.335   .417000
   630.    15.873    1.324   .412000
   640.    15.625    1.313   .408000
   650.    15.385    1.303   .403000
   660.    15.152    1.289   .397000
   670.    14.925    1.277   .392000
   680.    14.706    1.264   .386000
   690.    14.493    1.249   .379000
   700.    14.286    1.236   .373000
   710.    14.085    1.223   .365000
   720.    13.889    1.213   .356000
   730.    13.699    1.201   .347000
   740.    13.514    1.189   .338000
   750.    13.333    1.182   .328000
   760.    13.158    1.171   .317000
